phase,epoch,split,loss,general_f1,class_0_f1,class_1_f1,precision,recall,specificity,mcc,tn,fp,fn,tp,pr_auc,roc_auc,learning_rate
epoch,1,train,0.7832968957886942,0.6749669909477234,0.7588800191879272,0.5014725923538208,0.5828997097003888,0.4400066153973373,0.8138687915526007,0.27308649618774494,33297,7615,13544,10642,0.6133967561878275,0.6600426306022731,0.0003
epoch,1,val,0.8155041337013245,0.7196457386016846,0.8142170310020447,0.425333708524704,0.6777513855898654,0.31378299120234604,0.924643584521385,0.3107852210126565,4994,407,1872,856,0.5136879612905816,0.5846166412649769,0.0003
epoch,2,train,0.7522389262402087,0.7067959308624268,0.7891893982887268,0.5186735391616821,0.6648134979636693,0.4252046638551228,0.8732645678529527,0.3388504488969668,35727,5185,13902,10284,0.6475954102825259,0.6830018128835703,0.00029700099999999997
epoch,2,val,0.7602452039718628,0.7421576976776123,0.8244556188583374,0.5145900845527649,0.6987421383647798,0.40725806451612906,0.9113127198666914,0.37923724734221903,4922,479,1617,1111,0.5779204273632303,0.6672971050218244,0.00029700099999999997
epoch,3,train,0.7322122267921082,0.7305908203125,0.8115369081497192,0.5277613401412964,0.756639901173564,0.4051930869097825,0.9229565897536175,0.39719195393878354,37760,3152,14386,9800,0.6658525787286069,0.6938661395401904,0.00029400199999999997
epoch,3,val,0.8002141118049622,0.7192766666412354,0.8159677386283875,0.40286508202552795,0.6973451327433628,0.28885630498533726,0.9366783928902055,0.307833173432361,5059,342,1940,788,0.5358964433177398,0.633847810305575,0.00029400199999999997
epoch,4,train,0.7305080224167216,0.7274263501167297,0.8076030611991882,0.5326836705207825,0.7336767266395822,0.41813445795088067,0.9102708251857645,0.3884292690490937,37241,3671,14073,10113,0.6688213806991764,0.6972270546070393,0.00029100299999999996
epoch,4,val,0.7470744848251343,0.75396728515625,0.8312805891036987,0.545867383480072,0.7171837708830548,0.4406158357771261,0.9122384743566007,0.41184790264904975,4927,474,1526,1202,0.6363246712537258,0.6899865399097919,0.00029100299999999996
epoch,5,train,0.7122537085845957,0.745798647403717,0.8231408596038818,0.5482391715049744,0.8068948891031823,0.41515752914909454,0.9412641767696519,0.43800174258798463,38509,2403,14145,10041,0.6827127784847957,0.7045923900705202,0.00028800399999999996
epoch,5,val,0.7184823751449585,0.7609792351722717,0.8422249555587769,0.5072280168533325,0.823045267489712,0.36656891495601174,0.9601925569339012,0.4327502114225158,5186,215,1728,1000,0.6395076578097272,0.6912477785964475,0.00028800399999999996
epoch,6,train,0.7001713104857273,0.7522197365760803,0.8286120891571045,0.5529627203941345,0.8386012104909213,0.41247002398081534,0.953070003910833,0.4570648914311997,38992,1920,14210,9976,0.6922687825719447,0.7125223681182089,0.00028500499999999996
epoch,6,val,0.7101858854293823,0.7703284621238708,0.8496658205986023,0.5136754512786865,0.8874887488748875,0.3614369501466276,0.9768561377522681,0.46503825945298133,5276,125,1742,986,0.6174534961655833,0.6515727510002763,0.00028500499999999996
epoch,7,train,0.6932128853381998,0.7573043704032898,0.8327953815460205,0.5575377345085144,0.8639875010849752,0.41156040684693623,0.9616982792334767,0.4725883574303672,39345,1567,14232,9954,0.6976422914352797,0.7160268656408468,0.00028200599999999996
epoch,7,val,0.7063463926315308,0.7690982818603516,0.8461349010467529,0.5375708341598511,0.8196844477836214,0.3999266862170088,0.9555637844843548,0.4536361200557567,5161,240,1637,1091,0.6389598232693321,0.6838676352972541,0.00028200599999999996
epoch,8,train,0.6858616390011527,0.7609297037124634,0.8354601860046387,0.5629721283912659,0.8773741794310722,0.41445464318200614,0.9657557684786859,0.4829757720713007,39511,1401,14162,10024,0.7042102522311906,0.7219404679686995,0.00027900699999999995
epoch,8,val,0.7124737501144409,0.7703284621238708,0.849301815032959,0.5174463391304016,0.8773006134969326,0.36693548387096775,0.9740788742825403,0.46356716445536944,5261,140,1727,1001,0.6198853849745534,0.6641567340358931,0.00027900699999999995
epoch,9,train,0.6826735438380839,0.764401376247406,0.8383997082710266,0.5653886198997498,0.8984959020084662,0.41247002398081534,0.9724530700039108,0.494520619826266,39785,1127,14210,9976,0.7043111817777752,0.7214611353410495,0.00027600799999999995
epoch,9,val,0.703037440776825,0.7661458849906921,0.8444226384162903,0.5293389558792114,0.8154080854309688,0.3918621700879765,0.955193482688391,0.4455829350329788,5159,242,1659,1069,0.6533874740884802,0.707148019184022,0.00027600799999999995
epoch,10,train,0.6786472738814295,0.7648007869720459,0.8384625911712646,0.5676446557044983,0.8952525162554555,0.41557099148267596,0.9712553773953853,0.49478220382749344,39736,1176,14135,10051,0.707692388721389,0.7248808494369393,0.00027300899999999995
epoch,10,val,0.7122848629951477,0.7662689089775085,0.841640293598175,0.5539906024932861,0.7702349869451697,0.43255131964809385,0.9348268839103869,0.44357803541176577,5049,352,1548,1180,0.6520783262021981,0.7052500867385806,0.00027300899999999995
epoch,11,train,0.6782060195685019,0.7640941143035889,0.837867796421051,0.5671280026435852,0.8909751129217961,0.4159431075828992,0.969911028549081,0.4924305025701593,39681,1231,14126,10060,0.7080274376621413,0.7256165222434813,0.00027000999999999994
epoch,11,val,0.711868405342102,0.7582728266716003,0.8398402333259583,0.507395327091217,0.80253766851705,0.3709677419354839,0.9538974264025181,0.4237305086639066,5152,249,1716,1012,0.6460811750234653,0.6943043973066789,0.00027000999999999994
epoch,12,train,0.6739375012951928,0.7657685279846191,0.8392273187637329,0.5687050819396973,0.9001611747851003,0.4156536839493922,0.9727463824794681,0.49783309274675225,39797,1115,14133,10053,0.7113501686299093,0.7289581194268082,0.00026701099999999994
epoch,12,val,0.717555820941925,0.7697133421897888,0.8439739942550659,0.5605633854866028,0.779373368146214,0.437683284457478,0.9374189964821329,0.45290420402194237,5063,338,1534,1194,0.6550454550149596,0.7045602842636397,0.00026701099999999994
epoch,13,train,0.6710315724555632,0.7669974565505981,0.8401517271995544,0.5703846216201782,0.9054856115107913,0.41631522368312246,0.9743107156824403,0.5015424193331199,39861,1051,14117,10069,0.7159361937728912,0.7349492797977712,0.00026401199999999994
epoch,13,val,0.6810614466667175,0.7852134108543396,0.856154203414917,0.5762135982513428,0.8527298850574713,0.4351173020527859,0.9620440659137197,0.4978211895309222,5196,205,1541,1187,0.6647581146302297,0.7093303292916865,0.00026401199999999994
epoch,14,train,0.6684095711614342,0.768871545791626,0.841530978679657,0.5731630921363831,0.9130513376717281,0.41767964938394114,0.9764861165428236,0.5071035362557875,39950,962,14084,10102,0.7174727900047455,0.7354746175885745,0.00026101299999999994
epoch,14,val,0.6998296976089478,0.7727887630462646,0.8505542278289795,0.5262888073921204,0.8761742100768574,0.37609970674486803,0.973153119792631,0.46965455795237177,5256,145,1702,1026,0.6382711497209415,0.6856605041099699,0.00026101299999999994
epoch,15,train,0.6657467421354767,0.7693016529083252,0.8418991565704346,0.5734249949455261,0.9159709618874773,0.417348879517076,0.9773660539694955,0.5086157788925,39986,926,14092,10094,0.7203811013497535,0.7377665245387872,0.00025801399999999993
epoch,15,val,0.6801986694335938,0.7906261682510376,0.8603544235229492,0.581818163394928,0.8822652757078987,0.4340175953079179,0.9707461581188669,0.514808493741223,5243,158,1544,1184,0.6617555893112362,0.7046887293055863,0.00025801399999999993
epoch,16,train,0.6619267111914163,0.7712832689285278,0.843397319316864,0.5760655999183655,0.9251028806584363,0.4182584966509551,0.9799814235432147,0.5147441534796696,40093,819,14070,10116,0.7230722482445135,0.7404658048742051,0.00025501499999999993
