channel_id,message_id,channel_username,is_reply,reply_to_msg_id,is_forwarded,fwd_from_channel_id,fwd_from_message_id,date_utc,views,forwards,replies_count,has_media,text,_week_of_year,Reviewer 1,Reviewer 2,Reviewer 3,General label,Reviewer 1 (level-1),Reviewer 2 (level-1),Reviewer 2 (level-1),General label (level-1),Binary label
1601040920,25275,hersonruss,FALSE,,FALSE,,,2025-06-03 07:57:45+00:00,79731,152,,FALSE,за минувшие сутки в херсонской области ликвидировано пожаров в каланчакском округе горела нежилая постройка на площади квадратных метров в новотроицком загорелся полигон на площади квадратных метров в антоновке горел чердак дома в голопристанском округе также горел полигон на площади квадратных метров кроме того семь ландшафтных пожаров произошли на территории скадовского голопристанского и великолепетихского округов огонь ликвидировали сотрудники региональной мчс помимо этого информация о попадании воп поступала один раз спасатели также оказали помощь населению один раз,23,Не містить наративу,Не містить наративу,Росія покращує життя на окупованих територіях,Не містить наративу,Не містить наративу,Не містить наративу,"Наративи про добробут і ""визвольну"" роль Росії",Не містить наративу,FALSE
1200595041,82875,OpenUkraine,FALSE,,FALSE,,,2025-06-03 22:25:28+00:00,58185,88,,FALSE,в парадигме выживания украины не должно быть telegram в принципе нардеп поедающий козявки глава комитета вр по свободе слова юрчишин в парадигме выживания зеленского украинцев вообще быть больше не должно не то что telegram openukraine,23,Дискредитація чи висміювання представників української влади,Дискредитація чи висміювання представників української влади,Дискредитація чи висміювання представників української влади,Дискредитація чи висміювання представників української влади,Дискредитація України та її інституцій,Дискредитація України та її інституцій,Дискредитація України та її інституцій,Дискредитація України та її інституцій,TRUE
1305722586,171466,TCH_channel,FALSE,,FALSE,,,2025-02-20 22:15:23+00:00,195834,1,,FALSE,київ залишайтесь в укриттях декілька ударних бпла в межах міста сайт facebook youtube,8,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,FALSE
1343028414,37037,ASupersharij,FALSE,,FALSE,,,2025-02-20 17:49:51+00:00,973269,2728,,FALSE,дегенераты в европарламенте уже кличко стоя аплодируют,8,Дискредитація чи висміювання представників української влади,Дискредитація чи висміювання представників української влади,Дискредитація ЕС та заходу,Дискредитація чи висміювання представників української влади,Дискредитація України та її інституцій,Дискредитація України та її інституцій,Дискредитація ЕС та заходу,Дискредитація України та її інституцій,TRUE
1101170442,282856,rian_ru,FALSE,,FALSE,,,2025-02-27 16:37:47+00:00,676693,3001,,FALSE,трамп продлил на год действие исполнительного указа вводящего санкции против россии в связи с угрозой территориальной целостности украины,9,Росія воює проти Заходу в Україні,Не містить наративу,Росія воює проти Заходу в Україні,Росія воює проти Заходу в Україні,Дискредитація ЕС та заходу,Не містить наративу,Дискредитація ЕС та заходу,Дискредитація ЕС та заходу,TRUE
1283178270,155552,uaobozrevatel,FALSE,,FALSE,,,2025-02-28 08:22:59+00:00,11677,10,,FALSE,сбу затримала коригувальників які наводили ракети рф на аеродроми та ппо в трьох областях украі ни на черкащині затримано річного чоловіка якии шпигував за підрозділами зсу у разі виявлення віи ськових колон зловмисник фіксував орієнтовну кількість бои овоі техніки та і і тактичні характеристики у полтаві затримано річну місцеву мешканку яка коригувала ракетно дронові атаки рф по обласному центру зловмисники перебувають під вартою і м загрожує до років тюрми сбу деталі,9,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,FALSE
1223955273,45131,kpszsu,FALSE,,FALSE,,,2025-10-20 19:39:48+00:00,174415,11,,FALSE,активність ворожої тактичної авіації на північно східному напрямку,43,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,FALSE
1184797808,45912,Novorossia_Region,FALSE,,FALSE,,,2025-10-24 10:16:38+00:00,1997,4,,FALSE,в николаеве неизвестные повредили памятник адмиралу макарову макаров степан осипович вице адмирал выдающийся флотоводец и учёный родился в николаеве погиб на броненосце петропавловск,43,Україна — терористична держава,Україна — терористична держава,Наратив щодо історичних подій,Україна — терористична держава,Дискредитація України та її інституцій,Дискредитація України та її інституцій,Наратив щодо історичних подій,Дискредитація України та її інституцій,TRUE
1088461266,147051,ukrinform_news,FALSE,,FALSE,,,2025-06-22 07:01:34+00:00,6580,19,,FALSE,брифінг головнокомандувача зсу олександра сирського головне ворог досі не взяв покровськ що анонсував ще з вересня року зокрема й завдяки нашій курській операції ми контролюємо близько км території глушковського району курщини і це наші упереджувальні дії у відповідь на можливий наступ противника перехід на корпусну систему дасть можливість раціональніше використовувати військовослужбовців на бойових завданнях та створити більше дієздатних резервів переважна більшість командирів корпусів це колишні командири бригад які відзначились на полі бою так само їхні заступники начальники штабів на посаді командувача сбс майор роберт бровді взяв зобов язання щоб шість сім підрозділів увійшли до топ частин які показують найкращі результати у знищенні противника дронами росіяни розробили дрони на оптоволокні здатні літати на відстань до км водночас у нас з явилося достатньо виробників дронів наприклад з кілометровим оптоволоконним кабелем пріоритетними для ураження шахедів є мобільні вогневі групи їхня ефективність становить до та армійська авіація перспективний напрямок легкомоторна авіація за останній рік протяжність фронту збільшилася на км і складає близько км у тцк проводяться інспекції щоб тих хто не воював відправити на фронт а замість них прийшли військовослужбовці які мають поранення підпишись на укрінформ facebook twitter youtube,25,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,Не містить наративу,FALSE
1271765197,26438,rezident_ua,FALSE,,FALSE,,,2025-06-22 16:00:11+00:00,350525,455,,FALSE,на банковой снбо давно превратили в политическую гильотину но то что видно снаружи только фасад внутри действует закрытая ячейка неформально именуемая платформа гарантированной лояльности возглавляет её советник ермака связанный с киберблоком минцифры и аналитической группой при гур именно они подают списки на санкционирование не в формате официальных справок а через анкеты риска собранные по телеметрии из telegram банковской активности и поведенческого анализа как утверждает источник в оп имеющий доступ к предварительным санкционным листам каждое имя согласуется не по закону а по принципу лояльность используемость бизнесмен который отказывается входить в пул или медийщик у которого нет прямого выхода на оп попадает в серую папку далее либо предупреждение через банковские блокировки либо решение снбо в стиле угроза нацбезопасности ключ никакого следствия никакого суда всё оформляется в системе полюс это цифровой интерфейс согласования рисков к которому как утверждает источник имеют доступ не более человек включая двух цифровых кураторов и самого ермака зеленский видит только финальную папку и по словам источника подписывает автоматически для внешнего наблюдателя это выглядит как борьба с врагами для внутреннего круга это инструмент зачистки неконтролируемых и пополнение черной кассы оп никакой суд сюда не дотянется никакой парламент ничего не спросит потому что у каждого свои анкеты,25,Дискредитація чи висміювання представників української влади,Дискредитація чи висміювання представників української влади,Дискредитація чи висміювання представників української влади,Дискредитація чи висміювання представників української влади,Дискредитація України та її інституцій,Дискредитація України та її інституцій,Дискредитація України та її інституцій,Дискредитація України та її інституцій,TRUE
